count,mean,std,min,25%,50%,75%,max,word1,word2
5757.0,4.31301024839326,1.238144300401356,1.0,3.0,4.0,5.0,13.0,cares,doily
5757.0,4.298071912454403,1.2056235931982082,1.0,3.0,4.0,5.0,11.0,cares,pouty
5757.0,4.222511724856696,1.159752022365375,1.0,3.0,4.0,5.0,11.0,cares,poind
5757.0,4.397602918186555,1.268975973332383,1.0,4.0,4.0,5.0,12.0,cares,gouty
5757.0,4.3526142087893,1.2799703265538795,1.0,3.0,4.0,5.0,13.0,cares,noily
5757.0,4.334549244398124,1.2267049767348088,1.0,3.0,4.0,5.0,12.0,bares,doily
5757.0,4.323258641653639,1.1850510604876383,1.0,4.0,4.0,5.0,11.0,bares,pouty
5757.0,4.2589890568004165,1.1480750512031177,1.0,3.0,4.0,5.0,10.0,bares,poind
5757.0,4.411325343060622,1.2511274684288747,1.0,4.0,4.0,5.0,12.0,bares,gouty
5757.0,4.367378843147472,1.257223309280988,1.0,4.0,4.0,5.0,13.0,bares,noily
5757.0,4.275838110126802,1.1919618058834562,1.0,3.0,4.0,5.0,12.0,pares,doily
5757.0,4.349661281917665,1.2124220843193765,1.0,4.0,4.0,5.0,11.0,pares,gouty
5757.0,4.315442070522842,1.2331672189293563,1.0,3.0,4.0,5.0,13.0,pares,noily
5757.0,4.131839499739447,1.1181842271719113,1.0,3.0,4.0,5.0,11.0,pares,doilt
5757.0,4.22859128018065,1.1470400220764079,1.0,3.0,4.0,5.0,12.0,pares,could
5757.0,4.254125412541254,1.202789100146901,1.0,3.0,4.0,5.0,12.0,tares,doily
5757.0,4.161195066875108,1.1341875230210694,1.0,3.0,4.0,5.0,11.0,tares,poind
5757.0,4.268368942157374,1.232266141870371,1.0,3.0,4.0,5.0,13.0,tares,noily
5757.0,4.230675699148862,1.185069166057752,1.0,3.0,4.0,5.0,11.0,tares,piony
5757.0,4.209484106305367,1.165683919705228,1.0,3.0,4.0,5.0,12.0,tares,could
5757.0,4.280875455966649,1.234973925028656,1.0,3.0,4.0,5.0,12.0,cores,laity
5757.0,4.31301024839326,1.238144300401356,1.0,3.0,4.0,5.0,13.0,cores,daily
5757.0,4.385270105957964,1.2864201520795373,1.0,4.0,4.0,5.0,13.0,cores,gaily
5757.0,4.379190550634011,1.2702307979456933,1.0,4.0,4.0,5.0,12.0,cores,haily
5757.0,4.162584679520584,1.1583924019558638,1.0,3.0,4.0,5.0,11.0,cores,paint
5757.0,4.278617335417752,1.2004673772759344,1.0,3.0,4.0,5.0,12.0,bores,laity
5757.0,4.334549244398124,1.226704976734809,1.0,3.0,4.0,5.0,12.0,bores,daily
5757.0,4.401945457703665,1.2725996093091936,1.0,4.0,4.0,5.0,12.0,bores,gaily
5757.0,4.391697064443286,1.2560986126707498,1.0,4.0,4.0,5.0,12.0,bores,haily
5757.0,4.2751433038040645,1.1929964876988943,1.0,3.0,4.0,5.0,11.0,bores,canid
5757.0,4.2308494007295465,1.181585102368895,1.0,3.0,4.0,5.0,12.0,pores,laity
5757.0,4.275838110126802,1.1919618058834562,1.0,3.0,4.0,5.0,12.0,pores,daily
5757.0,4.338544380753865,1.2347173477174518,1.0,3.0,4.0,5.0,12.0,pores,gaily
5757.0,4.335765155462915,1.2280007109482856,1.0,3.0,4.0,5.0,12.0,pores,haily
5757.0,4.220253604307799,1.1577096339537074,1.0,3.0,4.0,5.0,11.0,pores,canid
5757.0,4.313531353135313,1.225388417352931,1.0,3.0,4.0,5.0,12.0,mares,doily
5757.0,4.289560535000868,1.162171784698704,1.0,3.0,4.0,5.0,11.0,mares,pouty
5757.0,4.233802327601182,1.1348682751401387,1.0,3.0,4.0,5.0,11.0,mares,poind
5757.0,4.374153204794164,1.2190628839209514,1.0,4.0,4.0,5.0,11.0,mares,gouty
5757.0,4.345839847142609,1.2467074680253571,1.0,3.0,4.0,5.0,13.0,mares,noily
5757.0,4.346708355046031,1.2557006994432964,1.0,4.0,4.0,5.0,13.0,canes,doily
5757.0,4.345839847142609,1.2816143117093517,1.0,3.0,4.0,5.0,13.0,canes,roily
5757.0,4.340976202883446,1.2319343390496211,1.0,4.0,4.0,5.0,12.0,canes,pouty
5757.0,4.426958485322216,1.2810789653010146,1.0,4.0,4.0,5.0,12.0,canes,gouty
5757.0,4.372589890568004,1.2912946004258252,1.0,4.0,4.0,5.0,13.0,canes,loury
5757.0,4.280180649643912,1.1707184803665216,1.0,3.0,4.0,5.0,11.0,dares,pouty
5757.0,4.370679173180476,1.2331540776510588,1.0,4.0,4.0,5.0,12.0,dares,gouty
5757.0,4.335938857043599,1.2606939534834876,1.0,3.0,4.0,5.0,13.0,dares,noily
5757.0,4.157721035261421,1.1442812836047616,1.0,3.0,4.0,5.0,11.0,dares,point
5757.0,4.307278096230676,1.2137320222274968,1.0,3.0,4.0,5.0,11.0,dares,piony
