count,mean,std,min,25%,50%,75%,max,word
5757.0,4.420010422094841,1.344849309895475,1.0,4.0,4.0,5.0,13.0,cares
5757.0,4.440333507034914,1.3202303166086862,1.0,4.0,4.0,5.0,12.0,bares
5757.0,4.382664582247698,1.3062892399490253,1.0,4.0,4.0,5.0,12.0,pares
5757.0,4.360778183081466,1.322919237200426,1.0,3.0,4.0,5.0,12.0,tares
5757.0,4.4262636789994785,1.3408084730177094,1.0,4.0,4.0,5.0,13.0,cores
5757.0,4.447281570262289,1.3140636855955736,1.0,4.0,4.0,5.0,12.0,bores
5757.0,4.3526142087893,1.2848473541422571,1.0,4.0,4.0,5.0,12.0,pores
5757.0,4.4121938509640435,1.3133769443143575,1.0,4.0,4.0,5.0,13.0,mares
5757.0,4.420705228417579,1.3389350378474272,1.0,4.0,4.0,5.0,12.0,canes
5757.0,4.429564009032482,1.3356636013689884,1.0,4.0,4.0,5.0,12.0,dares
5757.0,4.46986277575126,1.3134534785195164,1.0,4.0,4.0,5.0,12.0,banes
5757.0,4.355046030918881,1.3186193946142912,2.0,3.0,4.0,5.0,12.0,tores
5757.0,4.408025013027618,1.2965816261243568,1.0,4.0,4.0,5.0,11.0,panes
5757.0,4.47107868681605,1.3283430430371652,1.0,4.0,4.0,5.0,12.0,fares
5757.0,4.383011985409067,1.3372086312868527,2.0,4.0,4.0,5.0,13.0,lares
5757.0,4.395171096056974,1.292786540383836,1.0,4.0,4.0,5.0,13.0,bales
5757.0,4.398992530832031,1.30085996551307,1.0,4.0,4.0,5.0,13.0,mores
5757.0,4.42470036477332,1.3335755836882883,1.0,4.0,4.0,5.0,12.0,cones
5757.0,4.442244224422442,1.3193938926746485,1.0,4.0,4.0,5.0,12.0,bones
5757.0,4.352787910369984,1.2872988183588816,1.0,4.0,4.0,5.0,13.0,pales
5757.0,4.4648254299114125,1.346121958657977,1.0,4.0,4.0,5.0,12.0,hares
5757.0,4.468473163105784,1.3436288209402898,1.0,4.0,4.0,5.0,12.0,gores
5757.0,4.33837067917318,1.3046166699397903,1.0,3.0,4.0,5.0,13.0,tales
5757.0,4.392391870766024,1.2922892861184399,1.0,4.0,4.0,5.0,12.0,pones
5757.0,4.426089977418795,1.3026808092243125,1.0,4.0,4.0,5.0,12.0,manes
5757.0,4.475073823171791,1.3138272166126255,1.0,4.0,4.0,5.0,12.0,fores
5757.0,4.37953795379538,1.3383287973950861,1.0,4.0,4.0,5.0,13.0,tones
5757.0,4.488448844884489,1.3359103009585884,1.0,4.0,4.0,5.0,12.0,wares
5757.0,4.382664582247698,1.3401631115725918,1.0,4.0,4.0,5.0,13.0,lores
5757.0,4.407156505124196,1.3235731662193095,2.0,4.0,4.0,5.0,13.0,coles
5757.0,4.382490880667014,1.2793975438408904,2.0,4.0,4.0,5.0,13.0,boles
5757.0,4.48810144172312,1.326772677644613,2.0,4.0,4.0,5.0,12.0,fanes
5757.0,4.369289560535001,1.2870560485528868,1.0,4.0,4.0,5.0,13.0,poles
5757.0,4.417404898384575,1.3245146769521763,2.0,4.0,4.0,5.0,12.0,cates
5757.0,4.362688900468994,1.283529162836662,1.0,4.0,4.0,5.0,13.0,males
5757.0,4.387528226506861,1.3297802782305737,1.0,4.0,4.0,5.0,14.0,lanes
5757.0,4.415494180997047,1.3335449889301914,1.0,4.0,4.0,5.0,12.0,nares
5757.0,4.445197151294077,1.3092098857265837,1.0,4.0,4.0,5.0,12.0,bates
5757.0,4.4010769498002436,1.3270658514028533,1.0,4.0,4.0,5.0,13.0,dales
5757.0,4.317700191071739,1.2787300389842697,2.0,3.0,4.0,5.0,13.0,toles
5757.0,4.380059058537433,1.3417463688278615,2.0,4.0,4.0,5.0,13.0,rales
5757.0,4.398645127670662,1.3127977958595467,1.0,4.0,4.0,5.0,13.0,gales
5757.0,4.404029876671878,1.291996162489795,1.0,4.0,4.0,5.0,11.0,pates
5757.0,4.389786347055758,1.3314055073301851,2.0,4.0,4.0,5.0,12.0,rones
5757.0,4.541080423831857,1.350078786968473,2.0,4.0,4.0,5.0,13.0,vares
5757.0,4.439638700712177,1.2979024645910946,2.0,4.0,4.0,5.0,13.0,cames
5757.0,4.583463609518847,1.4335613995378695,2.0,4.0,4.0,5.0,13.0,kaies
5757.0,4.495396908111863,1.3395885826976361,2.0,4.0,4.0,5.0,13.0,kores
5757.0,4.4262636789994785,1.3317075186289713,1.0,4.0,4.0,5.0,12.0,cotes
5757.0,4.373458398471426,1.2807078998292187,1.0,4.0,4.0,5.0,13.0,moles
